unitthm.dk 352K 0.39
listlengthdef.dk 540K 0.62
optiondestdef.dk 1,6M 1.97
listreversethm.dk 1,8M 1.96
naturaldest.dk 436K 0.45
setfinitedef.dk 2,8M 3.70
naturaldivdef.dk 8,1M 12.85
naturalmultdef.dk 988K 1.00
optiondestthm.dk 340K 0.43
listappendthm.dk 2,7M 3.10
listmapthm.dk 4,3M 5.47
listintervalthm.dk 2,6M 2.59
axiomextensionality.dk 16K 0.02
listreplicatedef.dk 1,2M 1.33
listnthdef.dk 1,4M 1.55
naturaldef.dk 5,7M 28.70
listzipdef.dk 2,2M 3.30
listtakedropthm.dk 5,8M 5.03
axiomchoice.dk 52K 0.06
listfilterthm.dk 4,6M 5.39
naturalexpdef.dk 1,4M 1.23
naturalorderdef.dk 2,3M 2.30
listsetthm.dk 4,3M 5.17
listnththm.dk 9,4M 9.72
listdestdef.dk 2,3M 2.94
setsizedef.dk 28K 0.06
naturaldistancedef.dk 40K 0.05
naturalfactorialthm.dk 1,5M 1.22
listnubdef.dk 716K 0.91
functiondef.dk 32K 0.06
listmapdef.dk 1,4M 1.65
naturalorderminmaxthm.dk 1,1M 1.01
naturalsubthm.dk 4,2M 3.62
axiominfinity.dk 304K 0.41
listintervaldef.dk 1,5M 1.40
relationnaturaldef.dk 52K 0.06
naturalthm.dk 6,8M 7.82
listnubthm.dk 2,2M 2.36
listfolddef.dk 1,5M 2.06
boolint.dk 3,5M 4.45
setfoldthm.dk 4,2M 5.51
listsetdef.dk 4,3M 5.46
listlengththm.dk 1,6M 1.64
listzipthm.dk 2,9M 2.99
listlastthm.dk 260K 0.32
listtakedropdef.dk 2,0M 2.41
realthm.dk 1,1M 1.14
naturaladddef.dk 928K 0.95
pairdef.dk 3,4M 7.54
functionthm.dk 2,3M 3.12
boolclass.dk 4,0M 5.21
setdef.dk 856K 2.21
listfilterdef.dk 1,6M 2.23
listreversedef.dk 608K 0.77
booldef.dk 8,0K 0.02
naturalsubdef.dk 1,6M 1.65
relationdef.dk 200K 0.45
listdestthm.dk 788K 0.86
relationwellfoundeddef.dk 28K 0.04
relationthm.dk 4,2M 5.42
listreplicatethm.dk 2,2M 2.45
listappenddef.dk 1,5M 1.94
listfoldthm.dk 2,7M 3.40
pairthm.dk 4,3M 5.83
naturalfactorialdef.dk 604K 0.68
unitdef.dk 212K 0.27
boolext.dk 152K 0.20
listthm.dk 5,5M 4.99
naturalorderminmaxdef.dk 288K 0.33
naturaldistancethm.dk 8,7M 6.60
naturalnumeral.dk 744K 0.85
optionthm.dk 4,7M 3.94
listlastdef.dk 628K 0.74
setfolddef.dk 12M 24.96
